Timestamp,Merchant,Amount,Comment,"Original Currency","Original Amount",Receipt
"2017-06-16 12:00:00",Meetup,89.94,"Meetup subscription 6-mo",USD,89.94,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461062&amount=-8994&created=2017-06-16
"2017-06-13 12:00:00",Walgreens,41.95,"Civic Hack Night Drinks and Snacks",USD,41.95,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461057&amount=-4195&created=2017-06-13
"2017-06-13 12:00:00","Chipotle Mexican Grill",201.35,"Civic Hack Night Food",USD,201.35,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461058&amount=-20135&created=2017-06-13
"2017-06-07 12:00:00",Cvs/pharmacy,31.83,"Civic Hack Night Drinks and Snacks",USD,31.83,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461059&amount=-3183&created=2017-06-07
"2017-06-07 12:00:00","Chipotle Mexican Grill",200.26,"Civic Hack Night Food",USD,200.26,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461064&amount=-20026&created=2017-06-29
"2017-05-18 12:00:00",Stickermule,162.50,"Project Marketing [Budget Party]",USD,162.50,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461051&amount=-16250&created=2017-05-18
"2017-05-10 12:00:00","Chipotle Mexican Grill",114.75,"Hack Night Food",USD,114.75,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461052&amount=-11475&created=2017-05-10
"2017-04-26 12:00:00","Chipotle Mexican Grill",114.75,"Hack Night Food",USD,114.75,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461053&amount=-11475&created=2017-04-26
"2017-04-26 12:00:00","Orange Market",25.55,"Hack Night Drinks",USD,25.55,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461054&amount=-2555&created=2017-04-26
"2017-04-11 12:00:00","Chipotle Mexican Grill",114.75,"Hack Night Food",USD,114.75,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461049&amount=-11475&created=2017-04-11
"2017-04-08 12:00:00","Torchy's Tacos",65.08,"Leadership Planning Meeting Food",USD,65.08,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461045&amount=-6508&created=2017-04-08
"2017-04-01 12:00:00","Northshore Parking Garage",9.00,"3/22 expense Parking for presentation at Galvanize",USD,9.00,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461048&amount=-900&created=2017-03-22
"2017-04-01 12:00:00","Chipotle Mexican Grill",114.75,"3/28 expense Hack Night Food",USD,114.75,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461050&amount=-11475&created=2017-03-28
"2017-03-16 12:00:00",Buffer,102.00,"Communications Software",USD,102.00,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461044&amount=0&created=2017-03-20
"2017-03-15 12:00:00","Chipotle Mexican Grill",114.75,"Hack Night 3/15",USD,114.75,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461039&amount=0&created=2017-03-20
"2017-03-15 12:00:00",Wheatsville,27.18,"3/15 Hack Night",USD,27.18,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461040&amount=-2718&created=2017-03-15
"2017-03-01 12:00:00","Chipotle Mexican Grill",114.74,"2/8/17 expense: Hack Night",USD,114.74,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461038&amount=-11474&created=2017-02-08
"2017-03-01 12:00:00","Chipotle Mexican Grill",114.75,"2/21/17 expense:  Hack Night",USD,114.75,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461041&amount=-11475&created=2017-02-21
"2017-03-01 12:00:00",Wheatsville,21.96,"2/21/17 expense:  Hack Night",USD,21.96,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461042&amount=-2196&created=2017-02-21
"2017-03-01 12:00:00",HEB,59.40,"2/16/17 expense:  Meeting",USD,59.40,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461043&amount=-500&created=2017-02-16
"2017-02-05 12:00:00",Target,43.29,"Projector Plug Convertor",USD,43.29,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461034&amount=0&created=2017-02-07
"2017-01-18 12:00:00","H E B",62.87,"Leadership Meeting Snacks",USD,62.87,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461035&amount=0&created=2017-02-07
"2017-01-17 12:00:00","Chipotle Mexican Grill",114.75,"Civic Hack Night 2",USD,114.75,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461037&amount=0&created=2017-02-07
"2017-01-11 12:00:00","Chipotle Mexican Grill",114.75,"Civic Hack Night",USD,114.75,https://www.expensify.com/verifyReceipt?action=verifyreceipt&transactionID=15024839278461033&amount=0&created=2017-02-07
